spec_label,spec_seq_len,spec_d_model,acc_mean,acc_sem,full_vocab_mean,full_vocab_sem,loss_mean,margin_mean,head_mean,tail_mean,auc_mean,t80_median,seeds,params_trainable
1L-attn,16,64,0.16015625,0.015625,0.154296875,0.013671874999999998,3.4744232892990112,-1.9136374592781067,0.1640625,0.140625,0.1439453125,,2,71104
1L-attn,16,128,0.158203125,0.005859374999999999,0.158203125,0.005859374999999999,2.9960453510284424,-1.7393734455108643,0.16796875,0.171875,0.14208984375,,2,174976
1L-attn,16,256,0.1435546875,0.0146484375,0.1435546875,0.0146484375,2.851266622543335,-1.692405343055725,0.14453125,0.171875,0.149365234375,,2,481024
1L-attn,32,64,0.15234375,0.0,0.1455078125,0.0009765625,3.492178440093994,-1.925852358341217,0.15625,0.15625,0.1458984375,,2,72128
1L-attn,32,128,0.1357421875,0.0009765625,0.1357421875,0.0009765625,3.111164093017578,-1.8881239891052246,0.1328125,0.1328125,0.14111328125,,2,177024
1L-attn,32,256,0.1337890625,0.0029296874999999996,0.1337890625,0.0029296874999999996,2.880981683731079,-1.7324540615081787,0.13671875,0.125,0.14853515625000002,,2,485120
1L-attn,64,64,0.142578125,0.0078125,0.1357421875,0.0048828125,3.5687800645828247,-1.9891073107719421,0.171875,0.13671875,0.148046875,,2,74176
1L-attn,64,128,0.1552734375,0.006835937499999999,0.1552734375,0.006835937499999999,3.0792514085769653,-1.8036298751831055,0.15625,0.1640625,0.146533203125,,2,181120
1L-attn,64,256,0.1474609375,0.0029296874999999996,0.1474609375,0.0029296874999999996,2.8527129888534546,-1.6880654096603394,0.125,0.1640625,0.14296874999999998,,2,493312
2L-attn,16,64,0.9755859375,0.006835937499999999,0.9755859375,0.006835937499999999,0.0973075702786445,9.82332706451416,1.0,0.94140625,0.7926269531250001,875.0,2,87744
2L-attn,16,128,0.9609375,0.01953125,0.9609375,0.01953125,0.20346210896968836,10.817277431488037,0.98828125,0.953125,0.8685546875,500.0,2,241024
2L-attn,16,256,0.962890625,0.027343749999999997,0.9580078125,0.030273437499999997,0.3707420602440834,11.118221282958984,0.98828125,0.96875,0.88330078125,500.0,2,744192
2L-attn,32,64,0.9677734375,0.016601562499999997,0.9677734375,0.016601562499999997,0.1623326279222965,9.58457612991333,0.9921875,0.93359375,0.7814453125,1000.0,2,88768
2L-attn,32,128,0.962890625,0.017578125,0.962890625,0.017578125,0.1956224590539932,9.569068908691406,0.98828125,0.9375,0.80537109375,750.0,2,243072
2L-attn,32,256,0.96484375,0.005859374999999999,0.9619140625,0.006835937499999999,0.2552631348371506,10.990170955657959,0.99609375,0.9375,0.821337890625,500.0,2,748288
2L-attn,64,64,0.9453125,0.013671874999999998,0.9453125,0.013671874999999998,0.24247279763221735,8.409255981445312,0.9921875,0.90625,0.521533203125,1625.0,2,90816
2L-attn,64,128,0.9775390625,0.010742187499999998,0.9765625,0.009765625,0.1270479671657085,10.284808158874512,0.99609375,0.95703125,0.678173828125,1125.0,2,247168
2L-attn,64,256,0.9365234375,0.0185546875,0.9345703125,0.0185546875,0.5178630203008652,9.530618667602539,0.96484375,0.9140625,0.7418457031250001,875.0,2,756480
2L-attn-only,16,64,0.8955078125,0.0009765625,0.8955078125,0.0009765625,5.652772426605225,0.7644845843315125,0.9921875,0.77734375,0.643310546875,1625.0,2,32768
2L-attn-only,16,128,0.970703125,0.005859374999999999,0.970703125,0.005859374999999999,4.356170415878296,2.037640690803528,0.9921875,0.953125,0.8465820312500001,625.0,2,131072
2L-attn-only,16,256,0.99609375,0.0,0.99609375,0.0,2.073163390159607,4.379422187805176,1.0,0.9921875,0.890234375,500.0,2,524288
2L-attn-only,32,64,0.8564453125,0.0419921875,0.85546875,0.04296874999999999,5.6988489627838135,0.674349844455719,1.0,0.73828125,0.59521484375,2000.0,2,32768
2L-attn-only,32,128,0.935546875,0.01953125,0.935546875,0.01953125,4.465884685516357,1.8509753942489624,0.98828125,0.8515625,0.728515625,1000.0,2,131072
2L-attn-only,32,256,0.9765625,0.0,0.9765625,0.0,2.211678385734558,4.1513965129852295,1.0,0.95703125,0.841259765625,500.0,2,524288
2L-attn-only,64,64,0.4765625,0.20898437499999997,0.4716796875,0.2099609375,6.129098892211914,-0.014001697301864652,0.75390625,0.3125,0.23911132812500002,,2,32768
2L-attn-only,64,128,0.931640625,0.0078125,0.9306640625,0.0087890625,4.556211471557617,1.7463774681091309,0.99609375,0.8359375,0.68271484375,1125.0,2,131072
2L-attn-only,64,256,0.970703125,0.017578125,0.970703125,0.017578125,2.326034426689148,3.9975452423095703,0.9921875,0.9296875,0.75703125,875.0,2,524288
2L-embed-only,16,64,0.134765625,0.011718749999999998,0.0166015625,0.0048828125,5.888782024383545,-0.9564955532550812,0.140625,0.12890625,0.1423828125,,2,54336
2L-embed-only,16,128,0.146484375,0.001953125,0.080078125,0.001953125,4.832813501358032,-1.556257724761963,0.109375,0.16796875,0.14453125,,2,108672
2L-embed-only,16,256,0.134765625,0.0,0.1298828125,0.0029296874999999996,3.6672120094299316,-1.9825161695480347,0.15234375,0.140625,0.151953125,,2,217344
2L-embed-only,32,64,0.146484375,0.0078125,0.009765625,0.001953125,6.0931079387664795,-0.5585001707077026,0.140625,0.140625,0.144677734375,,2,55360
2L-embed-only,32,128,0.150390625,0.009765625,0.0498046875,0.0087890625,5.263735055923462,-1.343539834022522,0.14453125,0.1640625,0.14619140625,,2,110720
2L-embed-only,32,256,0.1435546875,0.0244140625,0.1396484375,0.0263671875,3.687238574028015,-1.8600953221321106,0.15625,0.14453125,0.1466796875,,2,221440
2L-embed-only,64,64,0.1474609375,0.012695312499999998,0.0,0.0,6.2423248291015625,-0.24637065082788465,0.125,0.16015625,0.1466796875,,2,57408
2L-embed-only,64,128,0.15234375,0.005859374999999999,0.0166015625,0.0048828125,5.905102968215942,-0.7833722531795502,0.17578125,0.171875,0.14169921875000002,,2,114816
2L-embed-only,64,256,0.140625,0.0,0.12890625,0.0078125,3.853987455368042,-1.885033905506134,0.14453125,0.12109375,0.1490234375,,2,229632
2L-fixed-embed,16,64,0.876953125,0.0390625,0.876953125,0.0390625,3.383116126060486,2.405991792678833,1.0,0.78125,0.64501953125,2000.0,2,33408
2L-fixed-embed,16,128,0.98828125,0.00390625,0.98828125,0.00390625,0.45130138099193573,6.66450309753418,1.0,0.96875,0.8607421875,500.0,2,132352
2L-fixed-embed,16,256,0.9873046875,0.0029296874999999996,0.9873046875,0.0029296874999999996,0.10580203309655185,9.061851024627686,0.9921875,0.984375,0.8929199218749999,500.0,2,526848
2L-fixed-embed,32,64,0.8837890625,0.0322265625,0.8818359375,0.030273437499999997,3.196078896522522,2.5942662954330444,0.9921875,0.77734375,0.63427734375,1375.0,2,33408
2L-fixed-embed,32,128,0.9365234375,0.016601562499999997,0.9365234375,0.016601562499999997,0.890011727809906,5.6477038860321045,1.0,0.87109375,0.739697265625,1000.0,2,132352
2L-fixed-embed,32,256,0.9765625,0.009765625,0.9765625,0.009765625,0.16731292009353635,8.762791633605957,0.99609375,0.94921875,0.836865234375,625.0,2,526848
2L-fixed-embed,64,64,0.5244140625,0.22167968749999997,0.5234375,0.22265624999999997,4.717866659164429,0.1736035943031311,0.8125,0.359375,0.25390625,,2,33408
2L-fixed-embed,64,128,0.9609375,0.00390625,0.958984375,0.001953125,0.6951878368854523,6.027951240539551,0.9921875,0.92578125,0.69970703125,1125.0,2,132352
2L-fixed-embed,64,256,0.9638671875,0.012695312499999998,0.9638671875,0.012695312499999998,0.24763443320989603,8.450188636779785,0.98828125,0.94140625,0.778564453125,750.0,2,526848
2L-freeze-QK,16,64,0.150390625,0.011718749999999998,0.1318359375,0.0224609375,4.478299617767334,-2.286377191543579,0.29296875,0.08203125,0.136328125,,2,71360
2L-freeze-QK,16,128,0.248046875,0.005859374999999999,0.2392578125,0.0087890625,3.280734896659851,-1.5330764055252075,0.51953125,0.1328125,0.159765625,,2,175488
2L-freeze-QK,16,256,0.5068359375,0.2666015625,0.50390625,0.263671875,1.8400317430496216,0.8860305547714233,0.703125,0.4296875,0.197314453125,,2,482048
2L-freeze-QK,32,64,0.1416015625,0.010742187499999998,0.0859375,0.011718749999999998,4.761019945144653,-2.046706795692444,0.1796875,0.12890625,0.13984375,,2,72384
2L-freeze-QK,32,128,0.1220703125,0.0029296874999999996,0.119140625,0.00390625,3.4723360538482666,-2.074849367141724,0.14453125,0.12890625,0.144580078125,,2,177536
2L-freeze-QK,32,256,0.1416015625,0.0263671875,0.1416015625,0.0263671875,2.935116171836853,-1.7611737847328184,0.171875,0.1328125,0.14707031250000002,,2,486144
2L-freeze-QK,64,64,0.1416015625,0.0009765625,0.0400390625,0.0029296874999999996,5.309058666229248,-1.42207533121109,0.1640625,0.1328125,0.14853515625,,2,74432
2L-freeze-QK,64,128,0.13671875,0.0,0.125,0.001953125,3.887686014175415,-2.0578339099884033,0.1328125,0.1328125,0.14697265625,,2,181632
2L-freeze-QK,64,256,0.1396484375,0.0185546875,0.1396484375,0.0185546875,2.9744869470596313,-1.7525403499603271,0.125,0.14453125,0.146337890625,,2,494336
2L-full,16,64,0.962890625,0.015625,0.9609375,0.015625,0.21526152640581128,9.03821325302124,0.98828125,0.9375,0.7256835937499999,1000.0,2,153920
2L-full,16,128,0.9482421875,0.0029296874999999996,0.9443359375,0.0029296874999999996,0.30720479786396027,9.559671878814697,0.9921875,0.92578125,0.7867675781250001,750.0,2,504448
2L-full,16,256,0.5029296875,0.0361328125,0.4912109375,0.0341796875,3.18143093585968,0.8457615673542023,0.87890625,0.20703125,0.393212890625,,2,1795328
2L-full,32,64,0.134765625,0.005859374999999999,0.107421875,0.00390625,4.228673458099365,-2.0834819078445435,0.12109375,0.12109375,0.143408203125,,2,154944
2L-full,32,128,0.53515625,0.38671874999999994,0.529296875,0.390625,2.0855407416820526,3.310865640640259,0.546875,0.46875,0.410986328125,1250.0,2,506496
2L-full,32,256,0.376953125,0.015625,0.359375,0.025390624999999997,3.8086827993392944,-0.6425355970859528,0.75,0.17578125,0.289306640625,,2,1799424
2L-full,64,64,0.13671875,0.005859374999999999,0.1015625,0.00390625,4.3624279499053955,-2.0923373699188232,0.125,0.1015625,0.142333984375,,2,156992
2L-full,64,128,0.1513671875,0.0048828125,0.1328125,0.00390625,3.9724576473236084,-2.1488232612609863,0.1171875,0.18359375,0.14682617187500002,,2,510592
2L-full,64,256,0.431640625,0.078125,0.3935546875,0.08105468749999999,3.8156752586364746,-0.3825587183237076,0.80078125,0.1484375,0.278955078125,,2,1807616
2L-no-pos,16,64,0.3759765625,0.0029296874999999996,0.357421875,0.001953125,3.151721477508545,-0.7354202270507812,0.73828125,0.2265625,0.30488281250000004,,2,86720
2L-no-pos,16,128,0.435546875,0.021484374999999997,0.42578125,0.015625,2.5798821449279785,0.026958182454109192,0.796875,0.19140625,0.34033203125,,2,238976
2L-no-pos,16,256,0.4794921875,0.0048828125,0.4775390625,0.006835937499999999,2.475728750228882,0.23332224786281586,0.83203125,0.23046875,0.344677734375,,2,740096
2L-no-pos,32,64,0.361328125,0.015625,0.3369140625,0.0146484375,3.1651991605758667,-0.3908225893974304,0.70703125,0.1875,0.27451171875,,2,86720
2L-no-pos,32,128,0.423828125,0.005859374999999999,0.41796875,0.009765625,2.608484148979187,0.09322124719619751,0.77734375,0.19140625,0.305419921875,,2,238976
2L-no-pos,32,256,0.3583984375,0.0244140625,0.35546875,0.023437499999999997,2.8827383518218994,-0.7257733345031738,0.796875,0.16796875,0.259228515625,,2,740096
2L-no-pos,64,64,0.138671875,0.001953125,0.1318359375,0.0029296874999999996,3.7143949270248413,-2.0884323120117188,0.12890625,0.1328125,0.146142578125,,2,86720
2L-no-pos,64,128,0.1376953125,0.0048828125,0.13671875,0.00390625,3.184582233428955,-1.9260573387145996,0.1484375,0.10546875,0.145068359375,,2,238976
2L-no-pos,64,256,0.1728515625,0.020507812499999997,0.1708984375,0.0185546875,3.19472336769104,-1.8681912422180178,0.2265625,0.17578125,0.16865234375,,2,740096
2L-qk-only,16,64,0.130859375,0.015625,0.0,0.0,6.705723285675049,-0.2120639830827713,0.1640625,0.11328125,0.14140625,,2,16384
2L-qk-only,16,128,0.2109375,0.013671874999999998,0.0,0.0,6.626006841659546,-0.2330318242311477,0.34765625,0.12109375,0.15888671875,,2,65536
2L-qk-only,16,256,0.2265625,0.05078124999999999,0.0068359375,0.0009765625,6.578006505966187,-0.31783542037010193,0.31640625,0.1640625,0.1611328125,,2,262144
2L-qk-only,32,64,0.1240234375,0.0029296874999999996,0.0,0.0,6.7045066356658936,-0.2019703611731529,0.1484375,0.12109375,0.14013671875,,2,16384
2L-qk-only,32,128,0.1416015625,0.016601562499999997,0.0029296875,0.0029296874999999996,6.665020704269409,-0.3021193593740463,0.15625,0.1328125,0.141748046875,,2,65536
2L-qk-only,32,256,0.146484375,0.0078125,0.00390625,0.001953125,6.629065036773682,-0.43148134648799896,0.15625,0.16796875,0.139990234375,,2,262144
2L-qk-only,64,64,0.158203125,0.00390625,0.001953125,0.0,6.7063889503479,-0.19488380104303354,0.18359375,0.1328125,0.141552734375,,2,16384
2L-qk-only,64,128,0.1435546875,0.006835937499999999,0.0009765625,0.0009765625,6.6521220207214355,-0.30602833628654474,0.1640625,0.12890625,0.141650390625,,2,65536
2L-qk-only,64,256,0.125,0.011718749999999998,0.0087890625,0.0029296874999999996,6.639360666275024,-0.4630616009235382,0.140625,0.1015625,0.14423828125,,2,262144
