run,eval_loss,eval_acc,eval_full_vocab_acc,eval_margin,eval_head_acc,eval_tail_acc,step,variant,train_scope,d_model,n_heads,seq_len,n_q,n_k,n_v,m,optimizer,lr,muon_lr,seed,elapsed_s,params_total,params_trainable,prompt_len,train_episodes,train_tokens,eval_episodes_per_eval,random_baseline,spec_group,spec_label,spec_variant,spec_train_scope,spec_optimizer,spec_lr,spec_seed,spec_seq_len,spec_d_model,spec_steps,auc_acc,t80_step
arch_1l_attn_seq16_d128_adamw_lr0p001_seed0,2.9736363887786865,0.15234375,0.15234375,-1.7268359661102295,0.1484375,0.140625,2500,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,0,19.851376599865038,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,128,2500,0.136328125,
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.0184543132781982,0.1640625,0.1640625,-1.751910924911499,0.1875,0.203125,2500,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,18.287118900101632,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500,0.1478515625,
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.7724997997283936,0.158203125,0.158203125,-1.5919702053070068,0.140625,0.1953125,2500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,20.709199000149965,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500,0.15146484375,
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.9300334453582764,0.12890625,0.12890625,-1.7928404808044434,0.1484375,0.1484375,2500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,21.034078700002283,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500,0.147265625,
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.450434446334839,0.17578125,0.16796875,-1.8750035762786863,0.1640625,0.1875,2500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,20.515316300094128,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500,0.146875,
arch_1l_attn_seq16_d64_adamw_lr0p001_seed1,3.498412132263184,0.14453125,0.140625,-1.9522713422775269,0.1640625,0.09375,2500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,1,21.744802000001076,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,64,2500,0.141015625,
arch_1l_attn_seq32_d128_adamw_lr0p001_seed0,3.144643783569336,0.134765625,0.134765625,-1.914612293243408,0.1328125,0.1328125,2500,one_layer_attn,all,128,4,32,128,128,512,7,adamw,0.001,0.02,0,23.001934999832883,177024,177024,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,32,128,2500,0.14482421875,
arch_1l_attn_seq32_d128_adamw_lr0p001_seed1,3.0776844024658203,0.13671875,0.13671875,-1.861635684967041,0.1328125,0.1328125,2500,one_layer_attn,all,128,4,32,128,128,512,7,adamw,0.001,0.02,1,23.35231350013055,177024,177024,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,32,128,2500,0.13740234375,
arch_1l_attn_seq32_d256_adamw_lr0p001_seed0,2.8898239135742188,0.13671875,0.13671875,-1.7305383682250977,0.1328125,0.125,2500,one_layer_attn,all,256,4,32,128,128,512,7,adamw,0.001,0.02,0,23.955379699822515,485120,485120,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,32,256,2500,0.15126953125,
arch_1l_attn_seq32_d256_adamw_lr0p001_seed1,2.8721394538879395,0.130859375,0.130859375,-1.7343697547912598,0.140625,0.125,2500,one_layer_attn,all,256,4,32,128,128,512,7,adamw,0.001,0.02,1,26.235727000050247,485120,485120,32,320000,10560000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,32,256,2500,0.14580078125,
