method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,0.9455394917344744,2.5151945668137823,92.73400000005495
muon_ls,0,0,,0.9464488093640626,2.5189656635099777,99.375
h0_ls,0,0,,0.9396815567500432,2.5182913685289723,101.85899999993853
signgd_ls,0,0,,0.9481043905644428,2.5189144856102037,103.56299999996554
gd_const,0,0,3162.27766017,0.9724768928798468,2.517054577884514,6.437999999965541
ngd_const,0,0,31.6227766017,0.9638640642779154,2.5491740897423654,6.468999999924563
muon_const,0,0,4.21696503429,0.9755256146056427,2.5689673662773918,8.953000000095926
h0_const,0,0,0.0749894209332,0.9401503261642951,2.5201437243001417,6.608999999938533
h0_const,0,0,0.0749894209333,0.9401503261642951,2.5201437243001417,6.594000000040978
signgd_const,0,0,0.133352143216,0.9708805972601697,2.567488894744195,6.5
