method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,0.9455394917344744,2.5151945668137823,92.73400000005495,2.517243421270856
muon_ls,0,0,,0.9464488093640626,2.5189656635099777,99.375,2.5224097075791554
h0_ls,0,0,,0.9396815567500432,2.5182913685289723,101.85899999993853,2.5207180772589757
signgd_ls,0,0,,0.9481043905644428,2.5189144856102037,103.56299999996554,2.522068058007485
muon_const,0,0,1.0,1.044994277840381,2.5230218701622134,9.062000000034459,2.524024101366702
signgd_const,0,0,0.0316227766017,1.0248663946534322,2.532318166266424,6.406000000075437,2.5342578957900384
gd_const,0,0,4216.96503429,0.9742176444299023,2.51546048596863,6.452999999979511,2.5181250921431815
ngd_const,0,0,7.49894209332,1.0062886944248035,2.517986763029217,6.469000000040978,2.5209268916828647
h0_const,0,0,0.0749894209332,0.9401503261642951,2.5201437243001417,6.608999999938533,2.5220931548978274
h0_const,0,0,0.0749894209333,0.9401503261642951,2.5201437243001417,6.594000000040978,2.5220931548978274
