method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,0.44916731479568783,1.4680857827037253,95.35900000005495,1.4825048136047443
muon_ls,0,0,,0.4202267155582722,1.45641939399443,103.71799999999348,1.4594448702809002
h0_ls,0,0,,0.41610741814606,1.4602968829240073,96.15700000000652,1.4662694605187432
signgd_ls,0,0,,0.4451520220532521,1.4686973830418815,98.34299999999348,1.479248797584307
gd_const,0,0,4216.96503429,0.4758017498858291,1.460831002377506,5.98499999998603,1.4717187849838465
ngd_const,0,0,13.3352143216,0.5092786595021697,1.4684371206264357,24.64000000001397,1.4781078840093123
muon_const,0,0,1.77827941004,0.569374833563111,1.4633135441296805,8.546999999904074,1.4639359112980046
h0_const,0,0,0.056234132519,0.42333217640601073,1.4607106591855472,23.016000000061467,1.4666784648080413
h0_const,0,0,0.0562341325191,0.42333217640601073,1.4607106591855472,6.125,1.4666784648080413
signgd_const,0,0,0.0421696503429,0.575671772007365,1.4842180787348735,18.79700000002049,1.4991647761167781
