method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.1817406586452894,3.1027349764474983,110.93700000003446
muon_ls,0,0,,1.141440398961282,3.0467234493371627,121.43799999996554
h0_ls,0,0,,1.127152105323304,3.0429540087336577,107.68799999996554
signgd_ls,0,0,,1.170275323445596,3.08168036146036,107.81300000008196
gd_const,0,0,1000.0,1.1822286466992333,3.0761628374286016,26.469000000040978
ngd_const,0,0,13.3352143216,1.1914896928468088,3.097317914117049,20.875
muon_const,0,0,5.62341325191,1.166805522968771,3.114378874607585,8.938000000081956
h0_const,0,0,0.0562341325191,1.1304204059331375,3.051749009614961,6.125
signgd_const,0,0,0.0749894209332,1.2059538006097934,3.218462790587141,6.187000000034459
signgd_const,0,0,0.0749894209333,1.2059538006097934,3.218462790587141,27.0
