method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.6927830351785926,5.0625044746139,75.53099999995902
muon_ls,0,0,,1.5637805453890092,4.668850279900973,80.81199999991804
gd_const,0,0,316.22776601683796,1.683202120263272,4.980146721753254,17.109000000054948
ngd_const,0,0,10.0,1.6778136243482116,4.934614051472683,6.453000000095926
h0_ls,0,0,,1.5517824985782318,4.628597652095958,96.60999999998603
signgd_ls,0,0,,1.6722205648547586,4.965120922080879,92.65599999995902
muon_const,0,0,2.3713737056616555,1.5828988153918666,4.721278102793361,9.141000000061467
h0_const,0,0,0.0421696503429,1.5654145090902878,4.654145596062482,6.593999999924563
signgd_const,0,0,0.056234132519,1.6749323350293677,5.040323011168713,6.422000000020489
signgd_const,0,0,0.0562341325191,1.6749323350293677,5.040323011168713,6.390999999945052
