method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.6927830351785926,5.0625044746139,75.53099999995902,5.2014186458393885
muon_ls,0,0,,1.5637805453890092,4.668850279900973,80.81199999991804,4.68909334469666
gd_const,0,0,316.22776601683796,1.683202120263272,4.980146721753254,17.109000000054948,5.109507113329632
ngd_const,0,0,10.0,1.6778136243482116,4.934614051472683,6.453000000095926,5.078957904256789
muon_const,0,0,1.0,1.6048244097723265,4.662519058046194,9.171999999904074,4.681002811652893
h0_ls,0,0,,1.5517824985782318,4.628597652095958,96.60999999998603,4.634435960116166
signgd_ls,0,0,,1.6722205648547586,4.965120922080879,92.65599999995902,5.098679441890077
h0_const,0,0,0.0316227766017,1.5706579608539428,4.629547446738431,6.60999999998603,4.637342443144681
signgd_const,0,0,0.056234132519,1.6749323350293677,5.040323011168713,6.422000000020489,5.110640211221853
signgd_const,0,0,0.0562341325191,1.6749323350293677,5.040323011168713,6.390999999945052,5.110640211221853
