method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.0463959841125607,7.628194924717144,99.67200000002049
muon_ls,0,0,,2.0316915494522965,7.584827141644631,103.03200000000652
h0_ls,0,0,,2.0255196910407487,7.5668047163188765,103.45299999997951
signgd_ls,0,0,,2.041450024931118,7.607594167538322,103.0
gd_const,0,0,562.341325191,2.043635467187969,7.6664907701061535,27.125
ngd_const,0,0,5.6234132519,2.0430825832690416,7.62497788615612,6.452999999979511
ngd_const,0,0,5.62341325191,2.0430825832690416,7.62497788615612,6.453000000095926
muon_const,0,0,1.77827941004,2.032461140098385,7.583330429531468,15.671999999904074
h0_const,0,0,0.0562341325191,2.0268917928625214,7.5694775100383795,6.60999999998603
signgd_const,0,0,0.0133352143216,2.04819195557322,7.654213387591148,6.453000000095926
