method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.0463959841125607,7.628194924717144,99.67200000002049,7.663833106729725
muon_ls,0,0,,2.0316915494522965,7.584827141644631,103.03200000000652,7.593279925506657
h0_ls,0,0,,2.0255196910407487,7.5668047163188765,103.45299999997951,7.566813939523167
signgd_ls,0,0,,2.041450024931118,7.607594167538322,103.0,7.632865995900981
muon_const,0,0,1.0,2.03512954860123,7.576238071521844,9.328000000095926,7.580344113128099
signgd_const,0,0,0.01,2.0498388750443066,7.637856952640749,27.25,7.663021379704116
gd_const,0,0,421.696503429,2.043989796877451,7.613240336655965,6.5,7.645542158146675
ngd_const,0,0,5.6234132519,2.0430825832690416,7.62497788615612,6.452999999979511,7.639087840638077
ngd_const,0,0,5.62341325191,2.0430825832690416,7.62497788615612,6.453000000095926,7.639087840638077
h0_const,0,0,0.0421696503429,2.027506169214363,7.566805430718837,6.608999999938533,7.566830559814944
